,availability,location,total_sqft,bath,price,bhk,encoded_location,encoded_availability
0,Ready To Move,Hennur Road,276.0,3,23.0,2,33,7
1,Ready To Move,Kumaraswami Layout,600.0,3,85.0,5,57,7
2,Ready To Move,other,1200.0,5,170.0,5,99,7
3,Ready To Move,Giri Nagar,880.0,3,140.0,3,30,7
4,Ready To Move,other,1200.0,5,180.0,5,99,7
5,Ready To Move,Sultan Palaya,550.0,1,62.0,2,84,7
6,Ready To Move,Basavangudi,1125.0,4,180.0,4,17,7
7,Ready To Move,Kenchenahalli,500.0,3,65.0,5,51,7
8,Ready To Move,other,1200.0,5,190.0,5,99,7
9,Ready To Move,Banjara Layout,600.0,3,58.0,3,15,7
10,Ready To Move,8th Phase JP Nagar,660.0,4,90.0,4,4,7
11,Ready To Move,Margondanahalli,940.0,4,150.0,5,63,7
12,Ready To Move,other,1200.0,5,100.0,5,99,7
13,Ready To Move,other,1210.0,4,160.0,5,99,7
14,Ready To Move,other,1000.0,4,160.0,5,99,7
15,Ready To Move,HBR Layout,675.0,3,59.0,4,32,7
16,Ready To Move,other,900.0,3,80.0,5,99,7
17,Ready To Move,Kammanahalli,1080.0,3,155.0,4,48,7
18,Ready To Move,Marathahalli,700.0,4,72.0,4,62,7
19,Ready To Move,Kothannur,600.0,4,95.0,3,55,7
20,Ready To Move,other,600.0,3,65.0,4,99,7
21,Ready To Move,other,915.0,4,54.9,4,99,7
22,Ready To Move,Yeshwanthpur,850.0,4,90.0,5,98,7
23,Ready To Move,other,600.0,5,60.0,4,99,7
24,Ready To Move,Marathahalli,1350.0,4,135.0,5,62,7
25,Ready To Move,Kengeri Satellite Town,850.0,3,95.0,3,53,7
26,Ready To Move,other,750.0,2,75.0,3,99,7
27,Ready To Move,Sector 7 HSR Layout,900.0,4,90.0,5,79,7
28,Ready To Move,Bannerghatta,810.0,4,50.0,4,16,7
29,Ready To Move,other,600.0,3,75.0,3,99,7
30,Ready To Move,Gubbalala,600.0,3,75.0,3,31,7
31,Ready To Move,other,817.0,2,120.0,4,99,7
32,Ready To Move,Kadugodi,1100.0,5,135.0,5,47,7
33,Ready To Move,other,712.0,2,67.5,4,99,7
34,Ready To Move,Hosa Road,675.0,3,72.5,3,36,7
35,17-Dec,Banashankari,600.0,3,100.0,3,11,1
36,Ready To Move,other,1350.0,4,130.0,5,99,7
37,Ready To Move,other,600.0,2,60.0,3,99,7
38,Ready To Move,6th Phase JP Nagar,600.0,2,100.0,3,3,7
39,Ready To Move,Jalahalli East,800.0,2,80.0,3,43,7
40,Ready To Move,Yeshwanthpur,585.0,1,70.0,2,98,7
41,Ready To Move,other,500.0,2,70.0,2,99,7
42,Ready To Move,other,432.0,2,40.0,2,99,7
43,Ready To Move,Chikkabanavar,1200.0,4,70.0,5,27,7
44,Ready To Move,Electronic City Phase II,545.0,1,27.0,2,29,7
45,Ready To Move,other,800.0,4,80.0,4,99,7
46,Ready To Move,other,720.0,3,65.0,3,99,7
47,Ready To Move,Kothanur,1140.0,4,90.0,4,56,7
48,Ready To Move,other,1200.0,6,137.0,5,99,7
49,Ready To Move,Kaval Byrasandra,750.0,4,110.0,4,50,7
50,Ready To Move,other,600.0,4,40.0,4,99,7
51,Ready To Move,other,1200.0,4,100.0,5,99,7
52,Ready To Move,Nagarbhavi,600.0,2,100.0,4,66,7
53,Ready To Move,other,800.0,4,120.0,4,99,7
54,Ready To Move,Nagarbhavi,600.0,2,80.0,3,66,7
55,18-Feb,other,600.0,2,110.0,3,99,3
56,Ready To Move,other,1440.0,5,110.0,5,99,7
57,Ready To Move,Vishveshwarya Layout,600.0,4,95.0,4,94,7
58,19-Dec,other,296.0,1,22.89,1,99,6
59,Ready To Move,other,1200.0,4,85.0,5,99,7
60,Ready To Move,Kengeri Satellite Town,600.0,4,72.0,3,53,7
61,Ready To Move,Hosakerehalli,800.0,4,120.0,4,37,7
62,Ready To Move,Battarahalli,800.0,2,75.0,3,19,7
63,Ready To Move,Nagarbhavi,600.0,3,100.0,3,66,7
64,Ready To Move,other,450.0,3,53.0,4,99,7
65,Ready To Move,Sanjay nagar,750.0,2,110.0,4,76,7
66,Ready To Move,other,600.0,2,30.0,3,99,7
67,Ready To Move,KR Puram,600.0,5,75.0,4,46,7
68,Ready To Move,Begur Road,680.0,4,68.0,3,20,7
69,Ready To Move,Rachenahalli,600.0,5,50.0,5,71,7
70,Ready To Move,Hulimavu,800.0,4,110.0,4,39,7
71,Ready To Move,Bommanahalli,680.0,4,68.0,3,22,7
72,Ready To Move,Singasandra,525.0,5,56.0,4,82,7
73,Ready To Move,Kengeri,1125.0,2,88.0,4,52,7
74,18-Apr,Nagarbhavi,600.0,3,83.0,3,66,2
75,Ready To Move,Kumaraswami Layout,600.0,3,98.0,3,57,7
76,Ready To Move,other,600.0,3,86.0,5,99,7
77,Ready To Move,other,800.0,5,98.0,5,99,7
78,Ready To Move,Akshaya Nagar,1080.0,4,75.0,4,7,7
79,Ready To Move,other,1100.0,4,150.0,5,99,7
80,Ready To Move,Kothannur,600.0,4,81.0,4,55,7
81,Ready To Move,Battarahalli,1350.0,3,110.0,5,19,7
82,Ready To Move,other,1320.0,5,199.0,5,99,7
83,Ready To Move,other,1200.0,5,195.0,5,99,7
84,Ready To Move,other,600.0,2,85.0,4,99,7
85,Ready To Move,Electronic City Phase II,545.0,1,35.0,2,29,7
86,Ready To Move,KR Puram,1000.0,4,75.0,4,46,7
87,Ready To Move,other,420.0,2,35.0,2,99,7
88,Ready To Move,other,600.0,2,90.0,4,99,7
89,Ready To Move,other,440.0,3,50.0,3,99,7
90,Ready To Move,other,950.0,5,90.0,5,99,7
